"filename", "language", "TypeScript", "JSON", "XML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\CustomNode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 56
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\TypeIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\index.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 4, 55
"d:\github\pecus-aspire\pecus.Frontend\src\components\client\widgets\treeView\type.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\github\pecus-aspire\pecus.Frontend\src\components\common\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 6, 5, 72
"d:\github\pecus-aspire\pecus.Frontend\src\components\dashboard\DashboardSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 56
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\PecusApiClient.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 30
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\auth.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 28, 16, 142
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\ApiError.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\ApiRequestOptions.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\ApiResult.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 12
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\CancelablePromise.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 132
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\OpenAPI.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 33
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\core\request.ts", "TypeScript", 266, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45, 323
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\index.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 122
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\AddUserToWorkspaceRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\AddWorkspaceItemRelationRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 20
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\AddWorkspaceItemRelationResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 21
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\BatchResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\ContinuationResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateGenreRequest.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 27
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateOrganizationRequest.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 47
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreatePermissionRequest.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateRoleRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateTagRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateUserWithoutPasswordRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateWorkspaceItemRequest.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 39
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\CreateWorkspaceRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\ErrorResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\FileUploadResponse.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 35
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\GenreCount.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\GenreDetailResponse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 55
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\GenreListItemResponse.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 39
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\GenreListItemResponsePagedResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 40
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\GenreResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 43
