"filename", "language", "C#", "JSON", "XML", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.WebApi\Models\Responses\Workspace\WorkspaceListItemResponse.cs", "C#", 18, 0, 0, 45, 15, 78
"d:\github\pecus-aspire\pecus.WebApi\Models\Responses\Workspace\WorkspaceResponse.cs", "C#", 7, 0, 0, 12, 4, 23
"d:\github\pecus-aspire\pecus.WebApi\Models\Responses\Workspace\WorkspaceStatistics.cs", "C#", 17, 0, 0, 36, 10, 63
"d:\github\pecus-aspire\pecus.WebApi\Models\Responses\Workspace\WorkspaceUserResponse.cs", "C#", 18, 0, 0, 39, 12, 69
"d:\github\pecus-aspire\pecus.WebApi\Models\Validation\AvatarTypeAttribute.cs", "C#", 26, 0, 0, 3, 8, 37
"d:\github\pecus-aspire\pecus.WebApi\Models\Validation\IntListRangeAttribute.cs", "C#", 33, 0, 0, 3, 8, 44
"d:\github\pecus-aspire\pecus.WebApi\Models\Validation\StringListItemsAttribute.cs", "C#", 35, 0, 0, 3, 10, 48
"d:\github\pecus-aspire\pecus.WebApi\Properties\launchSettings.json", "JSON", 0, 25, 0, 0, 1, 26
"d:\github\pecus-aspire\pecus.WebApi\Services\FileUploadService.cs", "C#", 149, 0, 0, 41, 24, 214
"d:\github\pecus-aspire\pecus.WebApi\Services\GenreService.cs", "C#", 198, 0, 0, 27, 37, 262
"d:\github\pecus-aspire\pecus.WebApi\Services\MasterDataService.cs", "C#", 23, 0, 0, 9, 6, 38
"d:\github\pecus-aspire\pecus.WebApi\Services\OrganizationService.cs", "C#", 184, 0, 0, 33, 36, 253
"d:\github\pecus-aspire\pecus.WebApi\Services\PermissionService.cs", "C#", 56, 0, 0, 22, 14, 92
"d:\github\pecus-aspire\pecus.WebApi\Services\RefreshTokenService.cs", "C#", 77, 0, 0, 5, 19, 101
"d:\github\pecus-aspire\pecus.WebApi\Services\RoleService.cs", "C#", 143, 0, 0, 34, 31, 208
"d:\github\pecus-aspire\pecus.WebApi\Services\TagService.cs", "C#", 110, 0, 0, 20, 25, 155
"d:\github\pecus-aspire\pecus.WebApi\Services\TokenBlacklistService.cs", "C#", 89, 0, 0, 15, 15, 119
"d:\github\pecus-aspire\pecus.WebApi\Services\UserService.cs", "C#", 424, 0, 0, 113, 86, 623
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceItemAttachmentService.cs", "C#", 165, 0, 0, 47, 25, 237
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceItemPinService.cs", "C#", 72, 0, 0, 21, 16, 109
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceItemRelationService.cs", "C#", 151, 0, 0, 41, 28, 220
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceItemService.cs", "C#", 392, 0, 0, 50, 66, 508
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceItemTagService.cs", "C#", 100, 0, 0, 18, 18, 136
"d:\github\pecus-aspire\pecus.WebApi\Services\WorkspaceService.cs", "C#", 303, 0, 0, 59, 61, 423
"d:\github\pecus-aspire\pecus.WebApi\appsettings.Development.json", "JSON", 0, 12, 0, 0, 1, 13
"d:\github\pecus-aspire\pecus.WebApi\appsettings.json", "JSON", 0, 93, 0, 0, 0, 93
"d:\github\pecus-aspire\pecus.WebApi\pecus.WebApi.csproj", "XML", 0, 0, 40, 0, 1, 41
"Total", "-", 9563, 130, 17, 3057, 1647, 14414
