"filename", "language", "XML", "C#", "ASP.NET Razor", "JSON", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.text.cshtml", "ASP.NET Razor", 0, 0, 9, 0, 0, 7, 16
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.html.cshtml", "ASP.NET Razor", 0, 0, 21, 0, 0, 8, 29
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.text.cshtml", "ASP.NET Razor", 0, 0, 12, 0, 0, 7, 19
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.html.cshtml", "ASP.NET Razor", 0, 0, 10, 0, 0, 7, 17
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.text.cshtml", "ASP.NET Razor", 0, 0, 10, 0, 0, 7, 17
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.html.cshtml", "ASP.NET Razor", 0, 0, 23, 0, 0, 10, 33
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.text.cshtml", "ASP.NET Razor", 0, 0, 16, 0, 0, 8, 24
"d:\github\pecus-aspire\pecus.Libs\Security\PasswordHasher.cs", "C#", 0, 17, 0, 0, 9, 4, 30
"d:\github\pecus-aspire\pecus.Libs\SerilogHelper.cs", "C#", 0, 27, 0, 0, 7, 3, 37
"d:\github\pecus-aspire\pecus.Libs\pecus.Libs.csproj", "XML", 23, 0, 0, 0, 0, 3, 26
"Total", "-", 1, -6714, 153, -53, 1067, -2412, -7958
