Date : 2025-10-31 18:19:56
Directory : d:\github\pecus-aspire\pecus.Libs
Total : 74 files,  -6613 codes, 1067 comments, -2412 blanks, all -7958 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordSetupEmailModel.cs                                  | C#            |         10 |         21 |          6 |         37 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\WelcomeEmailModel.cs                                        | C#            |         10 |         21 |          7 |         38 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\_Layout.html.cshtml                                                | ASP.NET Razor |         40 |          4 |          1 |         45 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.html.cshtml                                         | ASP.NET Razor |         12 |          0 |          7 |         19 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.text.cshtml                                         | ASP.NET Razor |          9 |          0 |          7 |         16 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.html.cshtml                                         | ASP.NET Razor |         21 |          0 |          8 |         29 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.text.cshtml                                         | ASP.NET Razor |         12 |          0 |          7 |         19 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.html.cshtml                                             | ASP.NET Razor |         10 |          0 |          7 |         17 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.text.cshtml                                             | ASP.NET Razor |         10 |          0 |          7 |         17 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.html.cshtml                                                | ASP.NET Razor |         23 |          0 |         10 |         33 |
| d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.text.cshtml                                                | ASP.NET Razor |         16 |          0 |          8 |         24 |
| d:\github\pecus-aspire\pecus.Libs\Security\PasswordHasher.cs                                                        | C#            |         17 |          9 |          4 |         30 |
| d:\github\pecus-aspire\pecus.Libs\SerilogHelper.cs                                                                  | C#            |         27 |          7 |          3 |         37 |
| d:\github\pecus-aspire\pecus.Libs\pecus.Libs.csproj                                                                 | XML           |         23 |          0 |          3 |         26 |
| Total                                                                                                               |               |     -6,613 |      1,067 |     -2,412 |     -7,958 |
+---------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
